pool,task_name,task_instance_id,n_candidates,margin,selected_answer,unresolved_tie,selector_reward,oracle_over_candidates,plurality_reward_descriptive,reachable
phase2b,crispr_delivery,18,2,4.8199994273634417e-08,f,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,64,2,0.46174624379728235,ANGPTL4,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,128,3,0.027628843986388985,ZPR1,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,138,2,0.1132502812665308,SLCO1A2,False,0.0,1.0,0.0,True
phase2b,gwas_causal_gene_gwas_catalog,170,2,0.3049898756728675,PRKAG1,False,1.0,1.0,0.0,True
phase2b,gwas_causal_gene_gwas_catalog,379,3,0.00546115207570097,HP,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,418,2,0.3641382647406355,C4B,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_gwas_catalog,492,2,0.4103791125759939,NDUFA11,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_opentargets,47,2,0.10717630685911278,IL13,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_opentargets,397,2,0.23968099288482841,RREB1,False,1.0,1.0,0.0,True
phase2b,gwas_causal_gene_opentargets,612,2,0.1851704759704647,PAM,False,1.0,1.0,1.0,True
phase2b,gwas_causal_gene_opentargets,690,2,0.0037256847106572066,CYP2E1,False,0.0,1.0,0.0,True
phase2b,gwas_causal_gene_pharmaprojects,509,2,0.3920199077482682,GNMT,False,0.0,1.0,0.0,True
phase2b,gwas_causal_gene_pharmaprojects,1300,2,0.32094920721596054,HTR3A,False,0.0,1.0,1.0,True
phase2b,gwas_causal_gene_pharmaprojects,1463,2,0.4410349012772645,KRT20,False,0.0,0.0,0.0,False
phase2b,gwas_causal_gene_pharmaprojects,1640,2,0.28281159947051066,IL21R,False,0.0,1.0,0.0,True
phase2b,gwas_causal_gene_pharmaprojects,1645,3,0.02237152708626,CCHCR1,False,0.0,0.0,0.0,False
phase2b,gwas_variant_prioritization,37,2,0.4621171139867195,rs2270968,False,1.0,1.0,0.0,True
phase2b,gwas_variant_prioritization,87,2,0.2540824411048024,rs662138,False,0.0,0.0,0.0,False
phase2b,gwas_variant_prioritization,102,2,0.2107134498345858,rs2160387,False,0.0,0.0,0.0,False
phase2b,gwas_variant_prioritization,121,2,0.13314043664753816,rs10455872,False,1.0,1.0,1.0,True
phase2b,gwas_variant_prioritization,130,2,0.1522284125909002,rs2073547,False,0.0,0.0,0.0,False
phase2b,lab_bench_dbqa,80,2,0.37380939871351243,B,False,1.0,1.0,0.0,True
phase2b,lab_bench_dbqa,269,2,0.2037937151396304,B,False,1.0,1.0,0.0,True
phase2b,lab_bench_dbqa,315,2,0.34493262254562873,A,False,1.0,1.0,1.0,True
phase2b,lab_bench_dbqa,345,2,0.11935889087124835,D,False,1.0,1.0,0.0,True
phase2b,lab_bench_dbqa,350,2,0.28259481733641895,B,False,1.0,1.0,0.0,True
phase2b,lab_bench_dbqa,430,2,0.09502854835492469,E,False,1.0,1.0,0.0,True
